1,1,1860,832
1,2,1505,736
2,1,1860,832
2,2,1505,736
3,1,1860,833
3,2,1504,735
4,1,1859,833
4,2,1503,735
4,3,828,718
5,1,1859,833
5,2,1503,735
5,3,828,718
6,1,1858,834
6,2,1489,735
6,3,823,717
7,1,1858,834
7,2,1486,736
7,3,821,717
8,1,1858,834
8,2,1483,736
8,3,819,717
9,1,1857,833
9,2,1479,736
9,3,817,717
10,1,1857,831
10,2,1475,736
10,3,815,717
11,1,1856,831
11,2,1471,736
11,3,812,717
12,1,1855,831
12,2,1470,736
12,3,810,717
13,1,1855,831
13,2,1470,737
13,3,808,717
14,1,1855,831
14,2,1468,737
14,3,797,709
15,1,1855,830
15,2,1465,737
15,3,794,708
16,1,1855,830
16,2,1462,737
16,3,791,707
17,1,1855,829
17,2,1460,734
17,3,788,706
18,1,1855,828
18,2,1456,734
18,3,785,705
19,1,1854,828
19,2,1454,733
19,3,781,704
20,1,1853,829
20,2,1451,733
20,3,778,704
21,1,1853,829
21,2,1449,732
21,3,775,703
22,1,1852,829
22,2,1446,732
22,3,772,702
23,1,1852,829
23,2,1443,732
23,3,769,701
24,1,1852,829
24,2,1437,734
24,3,766,700
25,1,1851,829
25,2,1434,736
25,3,763,699
26,1,1852,828
26,2,1432,735
26,3,760,698
27,1,1852,828
27,2,1431,734
27,3,757,697
28,1,1852,828
28,2,1430,734
28,3,754,696
29,1,1852,827
29,2,1428,735
29,3,751,696
30,1,1851,827
30,2,1426,735
30,3,748,695
31,1,1851,827
31,2,1424,736
31,3,745,694
32,1,1850,827
32,2,1421,736
32,3,742,693
33,1,1850,826
33,2,1419,736
33,3,739,692
34,1,1850,827
34,2,1413,732
34,3,736,691
35,1,1850,826
35,2,1410,731
35,3,732,690
36,1,1850,826
36,2,1405,729
36,3,729,689
37,1,1849,826
37,2,1402,722
37,3,726,688
37,4,15,704
38,1,1849,826
38,2,1399,721
38,3,723,687
38,4,17,705
38,5,726,720
39,1,1849,826
39,2,1396,719
39,3,720,687
39,4,17,705
39,5,725,720
40,1,1848,826
40,2,1393,718
40,3,798,712
40,4,19,705
40,5,724,720
41,1,1848,826
41,2,1390,717
41,3,799,712
41,4,20,705
41,5,724,720
42,1,1848,826
42,2,1387,716
42,3,799,712
42,4,22,706
42,5,723,719
43,1,1848,826
43,2,1384,714
43,3,799,712
43,4,24,707
43,5,709,721
44,1,1848,826
44,2,1387,734
44,3,799,713
44,4,26,707
44,5,705,720
45,1,1848,826
45,2,1385,735
45,3,799,713
45,4,29,707
45,5,703,720
46,1,1848,826
46,2,1385,731
46,3,799,713
46,4,33,707
46,5,700,719
47,1,1848,826
47,2,1384,730
47,3,780,714
47,4,35,706
47,5,698,716
48,1,1847,825
48,2,1382,730
48,3,779,714
48,4,41,707
48,5,696,717
48,7,53,998
49,1,1846,825
49,2,1377,730
49,3,778,714
49,4,46,708
49,5,694,719
49,7,51,998
50,1,1846,825
50,2,1375,729
50,3,776,714
50,4,50,708
50,5,691,719
50,7,50,998
50,8,38,706
51,1,1846,825
51,2,1368,730
51,3,775,714
51,4,54,709
51,5,689,722
51,7,48,998
51,8,39,706
51,9,31,1003
52,1,1845,824
52,2,1363,730
52,3,774,714
52,4,56,710
52,5,684,720
52,7,46,998
52,8,39,706
52,9,25,1007
53,1,1846,824
53,2,1358,731
53,3,772,715
53,4,56,710
53,5,682,718
53,7,44,998
53,8,39,706
53,9,22,1010
54,1,1846,824
54,2,1356,732
54,3,771,715
54,4,57,708
54,5,680,719
54,7,43,999
54,8,40,705
54,9,19,1012
55,1,1846,824
55,2,1353,732
55,3,770,715
55,4,59,708
55,5,679,720
55,7,41,999
55,8,57,707
55,9,16,1014
56,1,1846,824
56,2,1350,732
56,3,769,715
56,4,61,707
56,5,676,720
56,7,39,999
56,8,60,708
56,9,13,1017
57,1,1846,824
57,2,1347,731
57,3,767,715
57,4,62,706
57,5,674,720
57,7,37,999
57,8,63,708
57,9,10,1019
58,1,1846,824
58,2,1347,731
58,3,766,716
58,4,65,703
58,5,671,720
58,7,36,999
58,8,67,708
58,9,7,1021
59,1,1847,824
59,2,1345,731
59,3,765,716
59,4,69,704
59,5,669,720
59,7,34,999
59,8,70,708
59,9,4,1023
60,1,1847,824
60,2,1341,731
60,3,763,716
60,4,71,706
60,5,666,720
60,7,32,999
60,8,73,708
60,9,1,1026
61,1,1847,824
61,2,1340,730
61,3,762,716
61,4,74,706
61,5,663,720
61,7,30,999
61,8,76,708
61,9,-1,1028
62,1,1847,824
62,2,1338,730
62,3,761,716
62,4,76,707
62,5,655,716
62,7,29,999
62,8,79,708
62,9,-4,1030
63,1,1847,825
63,2,1334,730
63,3,759,716
63,4,79,709
63,5,652,716
63,7,27,999
63,8,83,708
63,9,-7,1033
64,1,1847,825
64,2,1331,729
64,3,758,717
64,4,82,711
64,5,649,715
64,7,25,1000
64,8,86,709
64,9,-11,1035
65,1,1847,825
65,2,1328,728
65,3,757,717
65,4,86,712
65,5,646,715
65,7,23,1000
65,8,89,709
65,9,-14,1037
66,1,1847,825
66,2,1324,726
66,3,755,717
66,4,86,710
66,5,645,718
66,7,22,1000
66,8,92,709
66,9,-17,1039
67,1,1847,825
67,2,1322,726
67,3,754,717
67,4,87,712
67,5,642,718
67,7,20,1000
67,8,95,709
67,9,-20,1042
68,1,1847,825
68,2,1318,727
68,3,753,717
68,4,91,716
68,5,638,718
68,7,18,1000
68,8,99,709
68,9,-23,1044
69,1,1847,825
69,2,1313,725
69,3,705,711
69,4,96,716
69,5,635,717
69,7,16,1000
69,8,102,709
69,9,-26,1046
70,1,1847,826
70,2,1310,727
70,3,703,709
70,4,100,717
70,5,634,718
70,7,14,1000
70,8,105,709
70,9,-29,1049
71,1,1847,826
71,2,1309,726
71,3,702,708
71,4,102,715
71,5,631,718
71,7,13,1000
71,8,108,710
71,9,-32,1051
72,1,1847,826
72,2,1309,726
72,3,701,708
72,4,105,715
72,5,628,718
72,7,11,1000
72,8,111,710
72,9,-35,1053
73,1,1847,826
73,2,1306,727
