1,1,699,314
1,2,126,165
1,3,339,297
1,4,489,19
1,5,777,56
2,1,698,315
2,2,129,166
2,3,340,295
2,4,487,19
2,5,781,57
3,1,696,317
3,2,130,167
3,3,343,297
3,4,487,19
3,5,787,57
4,1,694,319
4,2,130,169
4,3,344,296
4,4,484,19
4,5,790,57
5,1,691,321
5,2,131,169
5,3,345,296
5,4,479,19
5,5,793,57
6,1,689,323
6,2,132,170
6,3,346,295
6,4,479,19
6,5,794,57
7,1,687,324
7,2,136,172
7,3,350,296
7,4,478,19
7,5,793,56
8,1,686,326
8,2,137,173
8,3,347,299
8,4,479,19
8,5,795,56
9,1,686,326
9,2,138,174
9,3,347,299
9,4,479,20
9,5,796,56
10,1,683,328
10,2,139,175
10,3,350,304
10,4,476,20
10,5,796,57
11,1,681,329
11,2,141,176
11,3,354,306
11,4,477,20
11,5,796,58
12,1,679,330
12,2,140,179
12,3,354,309
12,4,474,20
12,5,797,58
13,1,677,331
13,2,140,180
13,3,355,311
13,4,474,20
13,5,802,59
14,1,675,332
14,2,142,182
14,3,358,312
14,4,472,21
14,5,804,60
15,1,674,332
15,2,145,183
15,3,360,313
15,4,472,21
15,5,805,59
16,1,672,332
16,2,146,184
16,3,361,315
16,4,472,21
16,5,807,60
17,1,669,332
17,2,147,182
17,3,363,317
17,4,471,21
17,5,810,59
18,1,665,332
18,2,148,182
18,3,366,320
18,4,470,21
18,5,812,61
19,1,662,332
19,2,151,182
19,3,369,321
19,4,467,21
19,5,815,61
20,1,657,332
20,2,153,182
20,3,371,322
20,4,464,21
20,5,818,61
21,1,651,333
21,2,157,181
21,3,374,324
21,4,462,21
21,5,821,62
22,1,647,333
22,2,160,179
22,3,375,326
22,4,461,21
22,5,822,63
23,1,643,333
23,2,162,179
23,3,376,326
23,4,459,21
23,5,822,63
24,1,638,333
24,2,165,177
24,3,378,325
24,4,452,21
24,5,824,63
25,1,634,331
25,2,164,176
25,3,381,326
25,4,447,22
25,5,826,63
26,1,632,331
26,2,174,177
26,3,384,325
26,4,446,22
26,5,828,63
27,1,629,330
27,2,179,179
27,3,385,325
27,4,448,22
27,5,829,63
28,1,627,330
28,2,182,178
28,3,387,326
28,4,453,22
28,5,835,63
29,1,625,330
29,2,185,180
29,3,387,326
29,4,453,22
29,5,840,63
30,1,623,330
30,2,187,183
